Provincia;ProvinciaPais
Buenos Aires;Province Buenos Aires, Argentina
Capital Federal;Province Capital Federal, Argentina
Catamarca;Province Catamarca, Argentina
Chaco;Province Chaco, Argentina
Chubut;Province Chubut, Argentina
Corrientes;Province Corrientes, Argentina
Córdoba;Province Córdoba, Argentina
Entre Ríos;Province Entre Ríos, Argentina
Formosa;Province Formosa, Argentina
Jujuy;Province Jujuy, Argentina
La Pampa;Province La Pampa, Argentina
La Rioja;Province La Rioja, Argentina
Mendoza;Province Mendoza, Argentina
Misiones;Province Misiones, Argentina
Neuquén;Province Neuquén, Argentina
Río Negro;Province Río Negro, Argentina
Salta;Province Salta, Argentina
San Juan;Province San Juan, Argentina
San Luis;Province San Luis, Argentina
Santa Cruz;Province Santa Cruz, Argentina
Santa Fe;Province Santa Fe, Argentina
Santiago Del Estero;Province Santiago Del Estero, Argentina
Tierra Del Fuego;Province Tierra Del Fuego, Argentina
Tucumán;Province Tucumán, Argentina
