Año;Trimestre;Provincia;+ 0 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;OTROS;Total;Accesos por cada 100 hab;Accesos por cada 100 hogares;Mbps (Media de bajada)
2021;4;Buenos Aires;733089;297296;196021;3259793;22958.0;4509157;25;75.66;60
2021;4;Capital Federal;131290;66135;66755;1147939;0.0;1412119;46;111.27;83
2021;4;Catamarca;13964;9804;3262;29827;2233.0;59090;14;55.25;46
2021;4;Chaco;42096;21937;13692;58435;7585.0;143745;12;44.05;42
2021;4;Chubut;104686;31175;5780;2904;15763.0;160308;25;82.57;9
2021;4;Córdoba;318019;76246;41198;538700;12607.0;986770;26;84.51;46
2021;4;Corrientes;55910;22922;10087;39911;7082.0;135912;12;45.51;36
2021;4;Entre Ríos;108810;38295;24068;77290;16583.0;265046;19;63.16;33
2021;4;Formosa;29975;6811;1135;13775;1967.0;53663;9;34.45;29
2021;4;Jujuy;39472;38134;564;33421;2324.0;113915;15;56.92;27
2021;4;La Pampa;74716;12259;4821;12184;3027.0;107007;30;89.57;14
2021;4;La Rioja;10474;23559;5671;43424;0.0;83128;21;77.92;40
2021;4;Mendoza;98355;75214;18621;75031;366.0;267587;13;47.51;22
2021;4;Misiones;65526;26721;15954;54596;8335.0;171132;13;49.06;39
2021;4;Neuquén;56657;10515;3310;69217;7767.0;147466;22;73.3;40
2021;4;Río Negro;59581;31255;4130;36142;22645.0;153753;20;65.69;27
2021;4;Salta;110131;6642;3535;72622;6475.0;199405;14;56.81;34
2021;4;San Juan;41347;23978;398;9800;4435.0;79958;10;39.59;11
2021;4;San Luis;13152;9107;67363;9;29218.0;118849;23;80.3;21
2021;4;Santa Cruz;32295;13054;1770;876;491.0;48486;13;43.05;9
2021;4;Santa Fe;377610;85690;62349;322015;18777.0;866441;24;77.09;36
2021;4;Santiago Del Estero;94526;12205;800;7537;793.0;115861;12;47.05;14
